order_id,order_date,order_month,order_year,product_category,product_subcategory,original_price,sales_price,discount_percentage,profit,city,state,country
OD6,06/09/2015,setembro,2015,Food Grains,Organic Staples,3114.86,2305.00,26%,322.70,Henderson,Kentucky,United States
OD7,06/09/2015,setembro,2015,Fruits & Veggies,Fresh Vegetables,1232.84,826.00,33%,346.92,Henderson,Kentucky,United States
OD8,06/09/2015,setembro,2015,Fruits & Veggies,Fresh Fruits,2716.18,1847.00,32%,147.76,Los Angeles,California,United States
OD9,06/09/2015,setembro,2015,Bakery,Biscuits,1027.27,791.00,23%,181.93,Fort Lauderdale,Florida,United States
OD10,06/09/2015,setembro,2015,Bakery,Cakes,2458.90,1795.00,27%,484.65,Fort Lauderdale,Florida,United States
OD11,06/09/2015,setembro,2015,Snacks,Chocolates,2187.36,1903.00,13%,437.69,Los Angeles,California,United States
OD12,06/09/2015,setembro,2015,"Eggs, Meat & Fish",Eggs,778.89,701.00,10%,308.44,Los Angeles,California,United States
OD3,06/12/2017,dezembro,2017,Food Grains,Atta & Flour,2987.34,2360.00,21%,165.20,Los Angeles,California,United States
OD4,10/11/2016,novembro,2016,Fruits & Veggies,Fresh Vegetables,1194.67,896.00,25%,89.60,Los Angeles,California,United States
OD5,10/11/2016,novembro,2016,Food Grains,Organic Staples,3182.43,2355.00,26%,918.45,Los Angeles,California,United States
OD1,11/08/2017,agosto,2017,Oil & Masala,Masalas,1425.00,1254.00,12%,401.28,Los Angeles,California,United States
OD2,11/08/2017,agosto,2017,Beverages,Health Drinks,913.41,749.00,18%,149.80,Los Angeles,California,United States
OD291,13/01/2015,janeiro,2015,Food Grains,Rice,1446.51,1244.00,14%,497.60,Concord,North Carolina,United States
OD292,13/01/2015,janeiro,2015,Fruits & Veggies,Organic Fruits,3018.18,1992.00,34%,418.32,Seattle,Washington,United States
OD293,13/01/2015,janeiro,2015,"Eggs, Meat & Fish",Eggs,1661.90,1396.00,16%,237.32,Fort Worth,Texas,United States
OD294,13/01/2015,janeiro,2015,Snacks,Chocolates,1048.15,849.00,19%,263.19,Fort Worth,Texas,United States
OD295,13/01/2015,janeiro,2015,Oil & Masala,Masalas,2893.02,2488.00,14%,547.36,Madison,Wisconsin,United States
OD515,13/01/2015,janeiro,2015,Beverages,Health Drinks,3221.92,2352.00,27%,564.48,West Jordan,Utah,United States
OD742,13/01/2015,janeiro,2015,Snacks,Chocolates,1039.73,759.00,27%,174.57,San Francisco,California,United States
